13:29:31.379043 config: drop-rate=0.00, max-delay=0s, seed=1553707771378046500
13:30:41.986083 [queue=0] packet #4, 127.0.0.1:8007 -> 127.0.0.1:61100, sz=4 is delivered
13:30:41.990072 [queue=0] packet #5, 127.0.0.1:61101 -> 127.0.0.1:8007, sz=4 is delivered
13:30:41.993064 [queue=0] packet #5, 127.0.0.1:8007 -> 127.0.0.1:61101, sz=4 is delivered
13:30:42.008024 [queue=0] packet #6, 127.0.0.1:61102 -> 127.0.0.1:8007, sz=4 is delivered
13:30:42.012013 [queue=0] packet #6, 127.0.0.1:8007 -> 127.0.0.1:61102, sz=4 is delivered
13:30:42.017000 [queue=0] packet #7, 127.0.0.1:61103 -> 127.0.0.1:8007, sz=4 is delivered
13:30:42.020988 [queue=0] packet #7, 127.0.0.1:8007 -> 127.0.0.1:61103, sz=4 is delivered
13:30:42.024978 [queue=0] packet #8, 127.0.0.1:61104 -> 127.0.0.1:8007, sz=4 is delivered
13:30:42.028967 [queue=0] packet #8, 127.0.0.1:8007 -> 127.0.0.1:61104, sz=4 is delivered
13:30:42.040935 [queue=0] packet #9, 127.0.0.1:61105 -> 127.0.0.1:8007, sz=4 is delivered
13:30:42.043927 [queue=0] packet #9, 127.0.0.1:8007 -> 127.0.0.1:61105, sz=4 is delivered
13:30:42.049912 [queue=0] packet #10, 127.0.0.1:61106 -> 127.0.0.1:8007, sz=4 is delivered
13:30:42.064871 [queue=0] packet #10, 127.0.0.1:8007 -> 127.0.0.1:61106, sz=4 is delivered
13:30:42.069858 [queue=0] packet #11, 127.0.0.1:61107 -> 127.0.0.1:8007, sz=4 is delivered
13:30:42.072849 [queue=0] packet #11, 127.0.0.1:8007 -> 127.0.0.1:61107, sz=4 is delivered
13:30:42.085814 [queue=0] packet #12, 127.0.0.1:61108 -> 127.0.0.1:8007, sz=4 is delivered
13:30:42.088806 [queue=0] packet #12, 127.0.0.1:8007 -> 127.0.0.1:61108, sz=4 is delivered
13:30:42.093793 [queue=0] packet #13, 127.0.0.1:61109 -> 127.0.0.1:8007, sz=4 is delivered
13:30:42.096785 [queue=0] packet #13, 127.0.0.1:8007 -> 127.0.0.1:61109, sz=4 is delivered
13:30:42.101771 [queue=0] packet #14, 127.0.0.1:61110 -> 127.0.0.1:8007, sz=4 is delivered
13:30:42.104763 [queue=0] packet #14, 127.0.0.1:8007 -> 127.0.0.1:61110, sz=4 is delivered
13:30:42.108752 [queue=0] packet #15, 127.0.0.1:61111 -> 127.0.0.1:8007, sz=4 is delivered
13:30:42.112742 [queue=0] packet #15, 127.0.0.1:8007 -> 127.0.0.1:61111, sz=4 is delivered
13:30:42.117728 [queue=0] packet #16, 127.0.0.1:61112 -> 127.0.0.1:8007, sz=4 is delivered
13:30:42.121718 [queue=0] packet #16, 127.0.0.1:8007 -> 127.0.0.1:61112, sz=4 is delivered
13:30:42.125707 [queue=0] packet #17, 127.0.0.1:61113 -> 127.0.0.1:8007, sz=4 is delivered
13:30:42.128699 [queue=0] packet #17, 127.0.0.1:8007 -> 127.0.0.1:61113, sz=4 is delivered
13:30:42.134683 [queue=0] packet #18, 127.0.0.1:61114 -> 127.0.0.1:8007, sz=4 is delivered
13:30:42.137675 [queue=0] packet #18, 127.0.0.1:8007 -> 127.0.0.1:61114, sz=4 is delivered
13:30:42.141663 [queue=0] packet #19, 127.0.0.1:61115 -> 127.0.0.1:8007, sz=2 is delivered
13:38:27.456035 [queue=0] packet #560, 127.0.0.1:55390 -> 127.0.0.1:8007, sz=4 is delivered
13:38:27.461994 [queue=0] packet #426, 127.0.0.1:8007 -> 127.0.0.1:55390, sz=4 is delivered
13:38:27.472965 [queue=0] packet #189, 127.0.0.1:55391 -> 127.0.0.1:8007, sz=4 is delivered
13:38:27.476954 [queue=0] packet #189, 127.0.0.1:8007 -> 127.0.0.1:55391, sz=4 is delivered
13:38:27.477951 [queue=0] packet #0, 127.0.0.1:55392 -> 127.0.0.1:8007, sz=1 is delivered
13:38:27.482938 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:55392, sz=1 is delivered
13:38:27.486926 [queue=0] packet #1, 127.0.0.1:55393 -> 127.0.0.1:8007, sz=4 is delivered
13:38:27.491913 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:55393, sz=4 is delivered
13:38:27.496899 [queue=0] packet #2, 127.0.0.1:55394 -> 127.0.0.1:8007, sz=4 is delivered
13:38:27.500889 [queue=0] packet #2, 127.0.0.1:8007 -> 127.0.0.1:55394, sz=4 is delivered
13:38:27.512858 [queue=0] packet #3, 127.0.0.1:55395 -> 127.0.0.1:8007, sz=4 is delivered
13:38:27.517844 [queue=0] packet #3, 127.0.0.1:8007 -> 127.0.0.1:55395, sz=4 is delivered
13:38:27.522830 [queue=0] packet #4, 127.0.0.1:55396 -> 127.0.0.1:8007, sz=4 is delivered
13:38:27.527817 [queue=0] packet #4, 127.0.0.1:8007 -> 127.0.0.1:55396, sz=4 is delivered
13:38:27.532803 [queue=0] packet #5, 127.0.0.1:55397 -> 127.0.0.1:8007, sz=4 is delivered
13:38:27.538788 [queue=0] packet #5, 127.0.0.1:8007 -> 127.0.0.1:55397, sz=4 is delivered
13:38:27.545768 [queue=0] packet #6, 127.0.0.1:55398 -> 127.0.0.1:8007, sz=4 is delivered
13:38:27.550755 [queue=0] packet #6, 127.0.0.1:8007 -> 127.0.0.1:55398, sz=4 is delivered
13:38:27.555742 [queue=0] packet #7, 127.0.0.1:55399 -> 127.0.0.1:8007, sz=4 is delivered
13:38:27.559731 [queue=0] packet #7, 127.0.0.1:8007 -> 127.0.0.1:55399, sz=4 is delivered
13:38:27.577682 [queue=0] packet #8, 127.0.0.1:55400 -> 127.0.0.1:8007, sz=4 is delivered
13:38:27.581672 [queue=0] packet #8, 127.0.0.1:8007 -> 127.0.0.1:55400, sz=4 is delivered
13:38:27.586659 [queue=0] packet #9, 127.0.0.1:55401 -> 127.0.0.1:8007, sz=4 is delivered
13:38:27.590648 [queue=0] packet #9, 127.0.0.1:8007 -> 127.0.0.1:55401, sz=4 is delivered
13:38:27.594637 [queue=0] packet #10, 127.0.0.1:55402 -> 127.0.0.1:8007, sz=4 is delivered
13:38:27.598625 [queue=0] packet #10, 127.0.0.1:8007 -> 127.0.0.1:55402, sz=4 is delivered
13:38:27.602615 [queue=0] packet #11, 127.0.0.1:55403 -> 127.0.0.1:8007, sz=4 is delivered
13:38:27.605607 [queue=0] packet #11, 127.0.0.1:8007 -> 127.0.0.1:55403, sz=4 is delivered
13:38:27.609596 [queue=0] packet #12, 127.0.0.1:55404 -> 127.0.0.1:8007, sz=4 is delivered
13:38:27.613586 [queue=0] packet #12, 127.0.0.1:8007 -> 127.0.0.1:55404, sz=4 is delivered
13:38:27.617575 [queue=0] packet #13, 127.0.0.1:55405 -> 127.0.0.1:8007, sz=4 is delivered
13:38:27.621565 [queue=0] packet #13, 127.0.0.1:8007 -> 127.0.0.1:55405, sz=4 is delivered
13:38:27.625553 [queue=0] packet #14, 127.0.0.1:55406 -> 127.0.0.1:8007, sz=4 is delivered
13:38:27.629542 [queue=0] packet #14, 127.0.0.1:8007 -> 127.0.0.1:55406, sz=4 is delivered
13:38:27.633532 [queue=0] packet #15, 127.0.0.1:55407 -> 127.0.0.1:8007, sz=4 is delivered
13:38:27.636523 [queue=0] packet #15, 127.0.0.1:8007 -> 127.0.0.1:55407, sz=4 is delivered
13:38:27.653478 [queue=0] packet #16, 127.0.0.1:55408 -> 127.0.0.1:8007, sz=4 is delivered
13:38:27.657467 [queue=0] packet #16, 127.0.0.1:8007 -> 127.0.0.1:55408, sz=4 is delivered
13:38:27.661456 [queue=0] packet #17, 127.0.0.1:55409 -> 127.0.0.1:8007, sz=4 is delivered
13:38:27.665446 [queue=0] packet #17, 127.0.0.1:8007 -> 127.0.0.1:55409, sz=4 is delivered
13:38:27.669435 [queue=0] packet #18, 127.0.0.1:55410 -> 127.0.0.1:8007, sz=4 is delivered
13:38:27.672427 [queue=0] packet #18, 127.0.0.1:8007 -> 127.0.0.1:55410, sz=4 is delivered
13:38:27.677414 [queue=0] packet #19, 127.0.0.1:55411 -> 127.0.0.1:8007, sz=2 is delivered
13:45:57.696207 config: drop-rate=0.00, max-delay=10ms, seed=1553708757696207800
13:45:57.697232 router is listening at :3000
13:46:08.429588 [queue=1] packet #116, 127.0.0.1:51178 -> 127.0.0.1:8007, sz=4 is delayed for 600µs
13:46:08.431583 [queue=0] packet #116, 127.0.0.1:51178 -> 127.0.0.1:8007, sz=4 is delivered
13:46:08.442554 [queue=1] packet #949, 127.0.0.1:8007 -> 127.0.0.1:51178, sz=4 is delayed for 9.1ms
13:46:08.452526 [queue=0] packet #949, 127.0.0.1:8007 -> 127.0.0.1:51178, sz=4 is delivered
13:46:08.459508 [queue=1] packet #321, 127.0.0.1:51179 -> 127.0.0.1:8007, sz=4 is delayed for 5.4ms
13:46:08.465492 [queue=1] packet #0, 127.0.0.1:51180 -> 127.0.0.1:8007, sz=1 is delayed for 7.7ms
13:46:08.465492 [queue=1] packet #321, 127.0.0.1:51179 -> 127.0.0.1:8007, sz=4 is delivered
13:46:08.469482 [queue=2] packet #321, 127.0.0.1:8007 -> 127.0.0.1:51179, sz=4 is delayed for 5.5ms
13:46:08.473499 [queue=1] packet #0, 127.0.0.1:51180 -> 127.0.0.1:8007, sz=1 is delivered
13:46:08.475466 [queue=0] packet #321, 127.0.0.1:8007 -> 127.0.0.1:51179, sz=4 is delivered
13:46:08.477460 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:51180, sz=1 is delayed for 3.5ms
13:46:08.482446 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:51180, sz=1 is delivered
13:46:08.487432 [queue=1] packet #1, 127.0.0.1:51181 -> 127.0.0.1:8007, sz=4 is delayed for 5.5ms
13:46:08.493416 [queue=0] packet #1, 127.0.0.1:51181 -> 127.0.0.1:8007, sz=4 is delivered
13:46:08.497406 [queue=1] packet #1, 127.0.0.1:8007 -> 127.0.0.1:51181, sz=4 is delayed for 1.4ms
13:46:08.499401 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:51181, sz=4 is delivered
13:46:08.505384 [queue=1] packet #2, 127.0.0.1:51182 -> 127.0.0.1:8007, sz=4 is delayed for 6.5ms
13:46:08.513363 [queue=0] packet #2, 127.0.0.1:51182 -> 127.0.0.1:8007, sz=4 is delivered
13:46:08.517353 [queue=1] packet #2, 127.0.0.1:8007 -> 127.0.0.1:51182, sz=4 is delayed for 4.5ms
13:46:08.523335 [queue=0] packet #2, 127.0.0.1:8007 -> 127.0.0.1:51182, sz=4 is delivered
13:46:08.528323 [queue=1] packet #3, 127.0.0.1:51183 -> 127.0.0.1:8007, sz=4 is delayed for 3.6ms
13:46:08.534336 [queue=0] packet #3, 127.0.0.1:51183 -> 127.0.0.1:8007, sz=4 is delivered
13:46:08.538295 [queue=1] packet #3, 127.0.0.1:8007 -> 127.0.0.1:51183, sz=4 is delayed for 9.2ms
13:46:08.548268 [queue=0] packet #3, 127.0.0.1:8007 -> 127.0.0.1:51183, sz=4 is delivered
13:46:08.553255 [queue=1] packet #4, 127.0.0.1:58586 -> 127.0.0.1:8007, sz=4 is delayed for 400µs
13:46:08.555250 [queue=0] packet #4, 127.0.0.1:58586 -> 127.0.0.1:8007, sz=4 is delivered
13:46:08.565224 [queue=1] packet #4, 127.0.0.1:8007 -> 127.0.0.1:58586, sz=4 is delayed for 7.1ms
13:46:08.573201 [queue=0] packet #4, 127.0.0.1:8007 -> 127.0.0.1:58586, sz=4 is delivered
13:46:08.577191 [queue=1] packet #5, 127.0.0.1:58587 -> 127.0.0.1:8007, sz=4 is delayed for 2.3ms
13:46:08.580182 [queue=0] packet #5, 127.0.0.1:58587 -> 127.0.0.1:8007, sz=4 is delivered
13:46:08.583174 [queue=1] packet #5, 127.0.0.1:8007 -> 127.0.0.1:58587, sz=4 is delayed for 4.9ms
13:46:08.588164 [queue=0] packet #5, 127.0.0.1:8007 -> 127.0.0.1:58587, sz=4 is delivered
13:46:08.592150 [queue=1] packet #6, 127.0.0.1:58588 -> 127.0.0.1:8007, sz=4 is delayed for 2.1ms
13:46:08.595143 [queue=0] packet #6, 127.0.0.1:58588 -> 127.0.0.1:8007, sz=4 is delivered
13:46:08.598134 [queue=1] packet #6, 127.0.0.1:8007 -> 127.0.0.1:58588, sz=4 is delayed for 9.7ms
13:46:08.609145 [queue=0] packet #6, 127.0.0.1:8007 -> 127.0.0.1:58588, sz=4 is delivered
13:46:08.614092 [queue=1] packet #7, 127.0.0.1:58589 -> 127.0.0.1:8007, sz=4 is delayed for 800µs
13:46:08.616087 [queue=0] packet #7, 127.0.0.1:58589 -> 127.0.0.1:8007, sz=4 is delivered
13:46:08.619078 [queue=1] packet #7, 127.0.0.1:8007 -> 127.0.0.1:58589, sz=4 is delayed for 2.1ms
13:46:08.622070 [queue=0] packet #7, 127.0.0.1:8007 -> 127.0.0.1:58589, sz=4 is delivered
13:46:08.626059 [queue=1] packet #8, 127.0.0.1:58590 -> 127.0.0.1:8007, sz=4 is delayed for 7.3ms
13:46:08.634041 [queue=0] packet #8, 127.0.0.1:58590 -> 127.0.0.1:8007, sz=4 is delivered
13:46:08.637029 [queue=1] packet #8, 127.0.0.1:8007 -> 127.0.0.1:58590, sz=4 is delayed for 2.5ms
13:46:08.640026 [queue=0] packet #8, 127.0.0.1:8007 -> 127.0.0.1:58590, sz=4 is delivered
13:46:08.644010 [queue=1] packet #9, 127.0.0.1:58591 -> 127.0.0.1:8007, sz=4 is delayed for 6.1ms
13:46:08.652017 [queue=0] packet #9, 127.0.0.1:58591 -> 127.0.0.1:8007, sz=4 is delivered
13:46:08.661962 [queue=1] packet #9, 127.0.0.1:8007 -> 127.0.0.1:58591, sz=4 is delayed for 3.1ms
13:46:08.665981 [queue=0] packet #9, 127.0.0.1:8007 -> 127.0.0.1:58591, sz=4 is delivered
13:46:08.670938 [queue=1] packet #10, 127.0.0.1:58592 -> 127.0.0.1:8007, sz=4 is delayed for 4.6ms
13:46:08.675959 [queue=0] packet #10, 127.0.0.1:58592 -> 127.0.0.1:8007, sz=4 is delivered
13:46:08.679914 [queue=1] packet #10, 127.0.0.1:8007 -> 127.0.0.1:58592, sz=4 is delayed for 3.4ms
13:46:08.683904 [queue=0] packet #10, 127.0.0.1:8007 -> 127.0.0.1:58592, sz=4 is delivered
13:46:08.687893 [queue=1] packet #11, 127.0.0.1:58593 -> 127.0.0.1:8007, sz=4 is delayed for 6ms
13:46:08.693916 [queue=0] packet #11, 127.0.0.1:58593 -> 127.0.0.1:8007, sz=4 is delivered
13:46:08.696868 [queue=1] packet #11, 127.0.0.1:8007 -> 127.0.0.1:58593, sz=4 is delayed for 3.7ms
13:46:08.702876 [queue=0] packet #11, 127.0.0.1:8007 -> 127.0.0.1:58593, sz=4 is delivered
13:46:08.706841 [queue=1] packet #12, 127.0.0.1:58594 -> 127.0.0.1:8007, sz=4 is delayed for 4.1ms
13:46:08.711829 [queue=0] packet #12, 127.0.0.1:58594 -> 127.0.0.1:8007, sz=4 is delivered
13:46:08.726788 [queue=1] packet #12, 127.0.0.1:8007 -> 127.0.0.1:58594, sz=4 is delayed for 5.4ms
13:46:08.732772 [queue=0] packet #12, 127.0.0.1:8007 -> 127.0.0.1:58594, sz=4 is delivered
13:46:08.736760 [queue=1] packet #13, 127.0.0.1:58595 -> 127.0.0.1:8007, sz=4 is delayed for 4.6ms
13:46:08.741747 [queue=0] packet #13, 127.0.0.1:58595 -> 127.0.0.1:8007, sz=4 is delivered
13:46:08.743743 [queue=1] packet #13, 127.0.0.1:8007 -> 127.0.0.1:58595, sz=4 is delayed for 1.6ms
13:46:08.746734 [queue=0] packet #13, 127.0.0.1:8007 -> 127.0.0.1:58595, sz=4 is delivered
13:46:08.750723 [queue=1] packet #14, 127.0.0.1:58596 -> 127.0.0.1:8007, sz=4 is delayed for 3.6ms
13:46:08.755713 [queue=0] packet #14, 127.0.0.1:58596 -> 127.0.0.1:8007, sz=4 is delivered
13:46:08.758702 [queue=1] packet #14, 127.0.0.1:8007 -> 127.0.0.1:58596, sz=4 is delayed for 2.2ms
13:46:08.762691 [queue=0] packet #14, 127.0.0.1:8007 -> 127.0.0.1:58596, sz=4 is delivered
13:46:08.766680 [queue=1] packet #15, 127.0.0.1:58597 -> 127.0.0.1:8007, sz=4 is delayed for 3.3ms
13:46:08.770670 [queue=0] packet #15, 127.0.0.1:58597 -> 127.0.0.1:8007, sz=4 is delivered
13:46:08.773662 [queue=1] packet #15, 127.0.0.1:8007 -> 127.0.0.1:58597, sz=4 is delayed for 5.2ms
13:46:08.779679 [queue=0] packet #15, 127.0.0.1:8007 -> 127.0.0.1:58597, sz=4 is delivered
13:46:08.784639 [queue=1] packet #16, 127.0.0.1:58598 -> 127.0.0.1:8007, sz=4 is delayed for 8.7ms
13:46:08.793614 [queue=0] packet #16, 127.0.0.1:58598 -> 127.0.0.1:8007, sz=4 is delivered
13:46:08.797604 [queue=1] packet #16, 127.0.0.1:8007 -> 127.0.0.1:58598, sz=4 is delayed for 9.6ms
13:46:08.807962 [queue=0] packet #16, 127.0.0.1:8007 -> 127.0.0.1:58598, sz=4 is delivered
13:46:08.812843 [queue=1] packet #17, 127.0.0.1:58599 -> 127.0.0.1:8007, sz=4 is delayed for 7.4ms
13:46:08.820824 [queue=0] packet #17, 127.0.0.1:58599 -> 127.0.0.1:8007, sz=4 is delivered
13:46:08.824811 [queue=1] packet #17, 127.0.0.1:8007 -> 127.0.0.1:58599, sz=4 is delayed for 7.2ms
13:46:08.833787 [queue=0] packet #17, 127.0.0.1:8007 -> 127.0.0.1:58599, sz=4 is delivered
13:46:08.837776 [queue=1] packet #18, 127.0.0.1:58600 -> 127.0.0.1:8007, sz=4 is delayed for 4.8ms
13:46:08.842762 [queue=0] packet #18, 127.0.0.1:58600 -> 127.0.0.1:8007, sz=4 is delivered
13:46:08.846752 [queue=1] packet #18, 127.0.0.1:8007 -> 127.0.0.1:58600, sz=4 is delayed for 6.5ms
13:46:08.853760 [queue=0] packet #18, 127.0.0.1:8007 -> 127.0.0.1:58600, sz=4 is delivered
13:46:08.867695 [queue=1] packet #19, 127.0.0.1:58601 -> 127.0.0.1:8007, sz=2 is delayed for 8.1ms
13:46:08.876944 [queue=0] packet #19, 127.0.0.1:58601 -> 127.0.0.1:8007, sz=2 is delivered
13:46:55.077402 config: drop-rate=0.00, max-delay=2ms, seed=1553708815077402200
13:46:55.078423 router is listening at :3000
13:47:01.700675 [queue=1] packet #981, 127.0.0.1:50207 -> 127.0.0.1:8007, sz=4 is delayed for 200µs
13:47:01.703661 [queue=0] packet #981, 127.0.0.1:50207 -> 127.0.0.1:8007, sz=4 is delivered
13:47:01.706689 [queue=1] packet #841, 127.0.0.1:8007 -> 127.0.0.1:50207, sz=4 is delayed for 1.76ms
13:47:01.710679 [queue=0] packet #841, 127.0.0.1:8007 -> 127.0.0.1:50207, sz=4 is delivered
13:47:01.716626 [queue=1] packet #309, 127.0.0.1:50208 -> 127.0.0.1:8007, sz=4 is delayed for 1.04ms
13:47:01.718621 [queue=0] packet #309, 127.0.0.1:50208 -> 127.0.0.1:8007, sz=4 is delivered
13:47:01.720616 [queue=1] packet #309, 127.0.0.1:8007 -> 127.0.0.1:50208, sz=4 is delayed for 1.2ms
13:47:01.721613 [queue=2] packet #0, 127.0.0.1:50209 -> 127.0.0.1:8007, sz=1 is delayed for 1.56ms
13:47:01.723635 [queue=0] packet #309, 127.0.0.1:8007 -> 127.0.0.1:50208, sz=4 is delivered
13:47:01.723635 [queue=0] packet #0, 127.0.0.1:50209 -> 127.0.0.1:8007, sz=1 is delivered
13:47:01.738575 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:50209, sz=1 is delayed for 540µs
13:47:01.740587 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:50209, sz=1 is delivered
13:47:01.745549 [queue=1] packet #1, 127.0.0.1:50210 -> 127.0.0.1:8007, sz=4 is delayed for 580µs
13:47:01.747571 [queue=0] packet #1, 127.0.0.1:50210 -> 127.0.0.1:8007, sz=4 is delivered
13:47:01.751533 [queue=1] packet #1, 127.0.0.1:8007 -> 127.0.0.1:50210, sz=4 is delayed for 1.08ms
13:47:01.753528 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:50210, sz=4 is delivered
13:47:01.771478 [queue=1] packet #2, 127.0.0.1:50211 -> 127.0.0.1:8007, sz=4 is delayed for 860µs
